id;fecha;valor;fecha_pago
1;2020-03-26T19:54:33;66735;2020-03-26T00:32:00
2;2020-03-26T01:50:26;25896;2020-03-26T13:56:22
3;2020-03-26T07:34:45;17222;2020-03-26T10:48:34
4;2020-03-26T07:19:53;97186;2020-03-26T11:50:48
5;2020-03-26T02:03:31;26606;2020-03-26T09:33:29
6;2020-03-26T12:26:47;87056;2020-03-26T12:31:04
7;2020-03-26T12:09:43;23235;2020-03-26T01:45:03
8;2020-03-26T16:53:48;11237;2020-03-26T07:29:03
9;2020-03-26T04:31:28;67822;2020-03-26T01:41:26
10;2020-03-26T17:08:59;99908;2020-03-25T21:57:47
